author,usernames,title,author_url,url
Benjamin Boyce,benjaminboyce,Accidental* QAnon Interview (2020),,https://www.bitchute.com/video/EuuzTkedQLg/
NurLogic,nurlogic,QAnon: Young Pharaoh's Satanic Ritual,,https://www.bitchute.com/video/KCgy0yhl17rl/
Aga Qubica Media,agaqubicamedia,QAnon w MSM!,,https://www.bitchute.com/video/LMPKxdX89Jzk/
PCS,pcs,QANON EXPOSED ❗,,https://www.bitchute.com/video/PVA93M8fD8vP/
Exposing Corruption,exposingcorruption,QAnon Soundtrack:  FEARLESS,,https://www.bitchute.com/video/H9jqbYAQVw7U/
wertyuiop,biblicalqanon,"60 Deep truths, Jesus, Humility, Qanon",,https://www.bitchute.com/video/rtXHRcAEY5tz/
dune.wtf,dunewtf,The conspiracy guy -  Qanon,,https://www.bitchute.com/video/X6cqtCopgCOC/
Hippie Buff Mom,hippie-buff-mom,"TRUMP, QANON AND GESARA",,https://www.bitchute.com/video/X9wadtAwSlgk/
Destroying The Illusion,destroyingtheillusion,"Ginni Thomas ""QAnon"" Attacks Explained",,https://www.bitchute.com/video/YT2sCubgRq7a/
POSEIDON,poseidon,Qanon: Dangerous Cult [Part 1],,https://www.bitchute.com/video/NkHU01J_bCc/
Exposing Corruption,exposingcorruption,QAnon Soundtrack:  SAVE THE CHILDREN,,https://www.bitchute.com/video/NfWILz9Oocz1/
Exposing Corruption,exposingcorruption,"What is this ""QAnon"" BULLSHIT?",,https://www.bitchute.com/video/QQFzm5xfshpg/
Eddy English,eddy-english,IMPORTANT MESSAGE From Anonymous QAnon Resistance,,https://www.bitchute.com/video/rZ33SwPWVB2F/
Exposing Corruption,exposingcorruption,QAnon Soundtrack - Have a Cigar - 43,,https://www.bitchute.com/video/pc3Jv1N5Ausu/
No Nonsense News,no_nonsense_news,Om Trump og Qanon - en nøtteskallsversjon,,https://www.bitchute.com/video/WrM4YWt47XYV/
GreatAwakening.World,worldawakening,IMPORTANT MESSAGE From Anonymous QAnon Resistance,,https://www.bitchute.com/video/RcmJ3mBEkqv3/
wertyuiop,biblicalqanon,"60 Deep truths, Jesus, Humility, Qanon",,https://www.bitchute.com/video/rtXHRcAEY5tz/
JQRCcode,qrc,Qanon To Be Proven A Psy_OP - 4/1/2020 - Dr.Chuck Baldwin,,https://www.bitchute.com/video/j5RIc6oLsz67/
Breitbart,breitbart,"Dick Durbin: Highlighting KBJ’s Lax Child Porn Sentences Plays to ""QAnon Crowd""",,https://www.bitchute.com/video/tLxDzQ0e-_4/
Right Wing Watch Fan,rightwingwatchfan,RWW News: QAnon 'Prophet' Johnny Enlow Prayed Over and 'Commissioned' Three GOP Candidates,,https://www.bitchute.com/video/lpgyxvwbAxo/
The David Pakman Show,davidpakmanshow,Almost 20% of Americans Believe in QAnon Conspiracies #shorts,,https://rumble.com/v1180p2-almost-20-of-americans-believe-in-qanon-conspiracies-shorts.html
The David Pakman Show,davidpakmanshow,Almost 20% of Americans Believe in QAnon Conspiracies #shorts,,https://rumble.com/v1180p2-almost-20-of-americans-believe-in-qanon-conspiracies-shorts.html
Video News,VideoNews,GREENE REVIVES QANON SMEAR IN ATTACK ON GOP SENATORS BACKING JACKSON'S SCOTUS NOMINATION,,https://rumble.com/v102ae0-greene-revives-qanon-smear-in-attack-on-gop-senators-backing-jacksons-scotu.html
Video News,VideoNews,GREENE REVIVES QANON SMEAR IN ATTACK ON GOP SENATORS BACKING JACKSON'S SCOTUS NOMINATION,,https://rumble.com/v102ae0-greene-revives-qanon-smear-in-attack-on-gop-senators-backing-jacksons-scotu.html
SBN News Clips,SBNNewsClips,TOOBIN SUGGESTS THAT KIDDIE PORN AND RAMPANT PEDOPHILIA IS BATS**T QANON CONSPIRACY THEORY - 6162,,https://rumble.com/vz03da-toobin-suggests-that-kiddie-porn-and-rampant-pedophilia-is-batst-qanon-cons.html
SBN News Clips,SBNNewsClips,TOOBIN SUGGESTS THAT KIDDIE PORN AND RAMPANT PEDOPHILIA IS BATS**T QANON CONSPIRACY THEORY - 6162,,https://rumble.com/vz03da-toobin-suggests-that-kiddie-porn-and-rampant-pedophilia-is-batst-qanon-cons.html
BBC News,,What QAnon followers believe now - BBC News,https://www.youtube.com/c/BBCNews,https://www.youtube.com/watch?v=jzsiDRP5gXc
VICE News,,QAnon Conspiracies Are Tearing Through Evangelical America,https://www.youtube.com/c/VICENews,https://www.youtube.com/watch?v=rYMIozCKxGE
BBC Newsnight,,QAnon: The conspiracy theory spreading fake news - BBC Newsnight,https://www.youtube.com/newsnight,https://www.youtube.com/watch?v=u8Gd9MJsnnE
NBC News,,QAnon And Conspiracy Theories: An American Political Tradition | Meet The Press Reports | NBC News,https://www.youtube.com/c/NBCNews,https://www.youtube.com/watch?v=ift5nxcSrII
PBS NewsHour,,What is QAnon? How the conspiracy theory gained traction in 2020 campaign,https://www.youtube.com/c/PBSNewsHour,https://www.youtube.com/watch?v=gMcJGnypBuQ
VICE,,QAnon 101: The Search for Q,https://www.youtube.com/c/VICE,https://www.youtube.com/watch?v=bsN96zE8FuE
CNN,,The roots of QAnon run deeper than you think,https://www.youtube.com/user/CNN,https://www.youtube.com/watch?v=rZN5vSbhsRU
DW News,,QAnon: Are conspiracy theories becoming a deadly threat? | To The Point,https://www.youtube.com/c/dwnews,https://www.youtube.com/watch?v=y7YPZxqJDYQ
60 Minutes Australia,,The dangerous Qanon cult tearing families apart with conspiracies | 60 Minutes Australia,https://www.youtube.com/c/60Minutes9,https://www.youtube.com/watch?v=nbmMwMQEK9Y
Comedy Central,,Sitting Down with QAnon Conspiracy Theorists - The Jim Jefferies Show,https://www.youtube.com/c/ComedyCentral,https://www.youtube.com/watch?v=VGrfN3v5JL8
CBS Sunday Morning,,QAnon and the spread of conspiracy theories,https://www.youtube.com/user/CBSSundayMorning,https://www.youtube.com/watch?v=AhYRHif-U8I
CNN,,Former QAnon believer shares bonkers conspiracy theory about Biden,https://www.youtube.com/user/CNN,https://www.youtube.com/watch?v=rkniaZtlfpg
60 Minutes,,"Loved ones describe cutting ties with parents, siblings over QAnon conspiracy theories",https://www.youtube.com/c/60minutes,https://www.youtube.com/watch?v=GS6BHBeqdBs
BBC News,,"QAnon, coronavirus and the conspiracy cult - BBC News",https://www.youtube.com/c/BBCNews,https://www.youtube.com/watch?v=4XTZbYtwZJQ
VICE,,What It's Like to Be a QAnon Influencer in 2021 | The Deep End,https://www.youtube.com/c/VICE,https://www.youtube.com/watch?v=lrfeMqM603E
MSNBC,,How QAnon Went Mainstream: ‘Fever Dream Come True For The Worst People On The Internet’,https://www.youtube.com/c/msnbc,https://www.youtube.com/watch?v=xVx7B6o0Fno
CBS News,,"QAnon conspiracy theories and antisemitic messages spreading, Anti-Defamation League reports",https://www.youtube.com/c/CBSNews,https://www.youtube.com/watch?v=LhYZfh6aqls
CNN,,QAnon believers gathered to see something physically impossible,https://www.youtube.com/user/CNN,https://www.youtube.com/watch?v=HTK6WB8qOSs
CNN,,Qanon’s lies continue long after its role in the Capitol insurrection,https://www.youtube.com/user/CNN,https://www.youtube.com/watch?v=ty7jrPYhdN4
CBS News,,"""Reverb | The QAnon Effect""",https://www.youtube.com/c/CBSNews,https://www.youtube.com/watch?v=UAWhOE1PEuY
